id,item_id,description,item_reference,locations,total_on_hand,total_expected,total_ordered,total_allocated,total_available,created_at,updated_at 
3309,P003309,Visionary static parallelism,ZlE15529O,"[15734, 29208, 768]",33,0,85,22,-74,2022-06-19 12:46:18,2024-06-05 05:33:33
3310,P003310,Digitized background interface,nsd32817K,"[19388, 13917, 13590, 19769, 11046, 4903, 4835]",143,0,76,19,48,2018-11-03 06:04:12,2021-05-04 13:32:23
3311,P003311,Realigned composite Graphic Interface,hTP77328m,"[12737, 13224, 4845, 5194, 7680, 16530, 5138]",131,0,72,20,39,1988-03-14 08:46:43,1989-04-15 20:37:34
3312,P003312,Polarized client-server archive,rOW74569E,"[23608, 11566, 11647, 32100, 31907, 31530, 23174, 23981, 24050, 17400, 10026, 9538]",335,0,203,0,132,2024-09-04 21:55:29,2024-09-05 03:46:34
3313,P003313,Customer-focused 5thgeneration policy,ooe00922H,"[1699, 1983, 16640, 15212, 618, 319, 7929, 18939, 20951, 2113, 30031, 24606, 2906]",340,0,57,36,247,1993-06-05 07:45:02,2005-05-16 03:42:41
3314,P003314,Advanced zero tolerance parallelism,fBe69861e,"[8055, 8112, 1979, 13657, 25127, 146, 9132, 11782, 11745, 26905]",223,0,0,19,204,1974-12-02 20:12:12,2007-05-22 13:36:10
3315,P003315,Synchronized optimizing matrices,zJE56255G,"[6488, 6649, 16341, 16338, 11495, 9234, 18483, 28478, 4993]",181,0,8,0,173,2008-02-11 12:59:29,2015-04-02 03:47:29
3316,P003316,Focused grid-enabled approach,dTe10529x,"[34225, 33864, 8725, 26424, 13816, 18676, 11114, 10699, 22865, 23833, 3610, 3859, 10360]",248,0,25,85,138,2008-04-30 20:35:12,2013-11-25 14:12:46
3317,P003317,Pre-emptive clear-thinking strategy,PdY35165i,"[25662, 22646, 34053, 25428, 24874, 23404, 23502, 22835, 22670, 22902, 11046, 5472, 25779, 25718, 14669, 15071, 7432, 7491]",335,0,72,120,143,1997-02-21 21:06:57,2015-11-08 15:18:41
3318,P003318,Synchronized attitude-oriented Graphical User Interface,tyf01944I,"[14822, 15071, 18577, 20063, 14265, 34522, 18413, 207, 17516, 17087, 4875, 1361, 2083, 28479, 24531, 24391, 4007, 3818, 32536]",325,0,0,33,292,2005-02-04 21:20:16,2009-08-03 07:39:14
3319,P003319,Synergized 4thgeneration paradigm,XjQ75785r,"[15023, 2738, 20462, 33970, 34511, 20479, 26263, 23794]",243,0,0,85,158,1976-09-22 20:09:07,1994-12-24 12:13:50
3320,P003320,Decentralized analyzing policy,KOG61053X,"[1291, 23179, 23315, 13921, 22385, 16276, 16235, 4886, 3574, 3957, 20415, 11799, 11836, 8157, 8056, 31826, 12267]",312,0,67,73,172,2008-09-17 17:27:24,2021-02-23 19:59:04
3321,P003321,Public-key systematic installation,rsp28701d,"[27589, 27685, 26699, 3704, 3801, 5039, 3931, 25701, 10163, 8181, 8016, 26637, 10587, 5337, 6571]",340,0,0,81,259,2008-10-04 22:15:18,2016-01-12 09:19:03
3322,P003322,Cross-platform dedicated open system,ZER90830X,"[21591, 1642, 1740, 23847, 23645, 29333, 22094, 31987, 23499, 1948, 22977, 23438, 20430]",317,0,0,48,269,2009-07-01 21:15:40,2013-09-28 23:42:00
3323,P003323,Customizable encompassing neural-net,gLF32503E,"[25773, 13910, 13686, 17260, 8170, 26703, 11960, 13894, 8155]",228,0,149,98,-19,2004-05-17 16:34:13,2015-06-13 09:50:47
3324,P003324,Open-architected optimal matrix,CvY26910v,"[7032, 25447, 21125, 32509, 32543, 14693]",99,0,0,40,59,1970-07-25 13:11:49,2000-09-07 15:04:20
3325,P003325,Enhanced even-keeled leverage,sPp75317T,"[19164, 17291, 33261, 33544, 10825]",125,0,90,29,6,2017-04-20 03:17:51,2024-04-01 06:42:14
3326,P003326,Front-line 3rdgeneration contingency,eAY73975C,"[9167, 9278, 6104, 25558, 29689, 30279, 2458, 2718, 9201, 9305, 13878]",136,0,50,112,-26,2012-03-21 11:59:02,2020-05-07 18:14:25
3327,P003327,Front-line web-enabled infrastructure,yBK98122e,"[26867, 27004, 32503, 34176, 4329, 18895]",188,0,0,33,155,1975-07-14 22:05:50,2023-05-01 13:06:11
3328,P003328,Implemented context-sensitive neural-net,FfZ85632S,"[13892, 13598, 3540, 3964, 9397, 26223, 26038, 18913, 30884, 20155]",200,0,119,119,-38,1980-11-25 14:29:50,1990-02-12 09:45:42
3329,P003329,Managed encompassing flexibility,iHT56180Y,"[31338, 31003, 5635, 23227, 22977, 15764, 22469, 4965, 16181, 15704, 26606, 2072, 1927]",221,0,0,0,221,1990-08-15 13:15:14,2023-12-16 17:52:02
3330,P003330,Progressive empowering intranet,hup29584X,"[8141, 7493, 7424, 20842, 16347, 16607, 22140, 27798, 28944, 24551, 3956, 3740, 14163, 14091]",198,0,54,42,102,1974-02-20 06:19:02,2018-01-19 19:23:10
3331,P003331,Compatible encompassing encryption,HkR39557U,"[18599, 27569, 12417, 12315, 5397, 5003, 17254, 15869, 16158, 15421]",166,0,21,70,75,1984-07-18 17:58:38,2023-01-17 13:31:06
3332,P003332,Profound neutral moratorium,wfl89249D,"[12284, 5444, 23766, 23640, 15289, 13423, 19481, 19565, 19064, 19359]",129,0,31,70,28,2009-06-21 16:11:31,2023-02-05 02:14:24
3333,P003333,Multi-channeled national focus group,zzF10491z,"[23826, 2540, 13383, 8924, 8847, 16889, 16880, 5729, 22617, 1814, 1879, 32494, 20320, 18973, 19020, 3682, 34283]",337,0,145,46,146,1990-03-02 09:57:24,2009-09-28 08:25:39
3334,P003334,Exclusive eco-centric open system,Ayn42392l,"[2719, 16014, 13527, 16247]",128,0,43,70,15,2014-08-08 08:01:30,2015-02-06 15:07:45
3335,P003335,Centralized 5thgeneration interface,SrA10109M,"[28266, 8983, 25659, 29649, 14171, 14272, 3824, 3950, 15469, 15215, 23435, 22913, 16784, 16922]",286,0,46,72,168,1976-12-28 17:24:01,2005-03-22 10:47:35
3336,P003336,De-engineered hybrid installation,FZI64482a,"[13539, 28493, 28376, 30598, 30836, 30116, 23854, 23829, 34458, 7074]",228,0,6,16,206,2013-05-27 06:51:47,2013-12-10 20:56:37
3337,P003337,Seamless fault-tolerant knowledgebase,OHa88838p,"[13318, 11461, 16365, 8210, 5282]",124,0,85,43,-4,1992-05-23 18:00:20,1992-12-26 18:58:22
3338,P003338,Pre-emptive impactful synergy,vYn91898T,"[23387, 23568, 11146, 11151, 14517, 28084, 27970]",67,0,43,39,-15,1986-02-27 00:08:18,2008-01-07 10:30:40
3339,P003339,Seamless contextually-based interface,zhi62568P,"[12916, 12987, 28347, 17786, 18017, 22943, 23059, 19617, 22620, 30352, 30405, 25480]",212,0,31,34,147,1978-07-29 13:41:20,2008-11-21 19:57:46
3340,P003340,Adaptive discrete Internet solution,zOg05316o,"[3100, 25672, 25773, 14822, 180, 33, 29334, 4021]",150,0,69,11,70,1978-03-31 21:20:05,1992-02-28 10:12:14
3341,P003341,User-centric composite core,hyN82444X,"[26181, 19243, 26105, 26129, 8929, 9003, 21860, 23454, 12623, 12849, 15241, 7388, 23852, 13754, 15155, 5062, 6975]",407,0,42,41,324,1971-03-11 04:17:34,2021-10-09 12:15:43
3342,P003342,Enhanced fault-tolerant orchestration,qYD99773m,"[25222, 24854, 11066, 28722, 28644, 7196, 7208, 12033, 11682]",153,0,27,99,27,2014-09-30 07:08:29,2020-12-18 16:06:23
3343,P003343,Customizable high-level matrices,CHM04808L,"[23835, 34290, 19510, 29350, 16181, 15430, 20212, 20185]",130,0,85,28,17,1999-04-15 09:53:43,2011-05-21 16:25:50
3344,P003344,Stand-alone maximized adapter,hiJ74874a,"[29578, 25516, 25451, 1545, 1723, 2619, 22846, 19068, 19328, 27456, 4991, 5024]",230,0,84,20,126,1985-06-04 21:58:19,1999-07-28 06:01:25
3345,P003345,Synergized next generation structure,xgG57666t,"[25279, 27762, 27422, 11539, 11831, 18767, 18768, 31591, 14207, 18514, 18494, 27990, 28977, 20519, 20527]",249,0,56,48,145,1980-02-06 12:42:46,1986-06-16 23:12:50
3346,P003346,Ameliorated local knowledge user,TOO18998g,"[2185, 30551, 30394, 29581, 32131, 32054, 31940, 25750]",130,0,35,1,94,2013-08-12 06:21:42,2024-07-06 22:37:10
3347,P003347,Devolved maximized interface,UwG15935u,"[31190, 24621, 20142, 10178, 5830, 1048]",138,0,35,32,71,1973-02-16 04:51:33,1999-02-03 10:17:57
3348,P003348,Balanced actuating middleware,sTx10735j,"[13710, 11512, 14238, 14574, 5103, 5457]",91,0,27,33,31,1971-06-13 22:02:43,2020-02-05 13:30:42
3349,P003349,Self-enabling cohesive initiative,JZM84039E,"[20742, 20811, 22862, 124, 6392]",103,0,20,17,66,2007-03-30 02:03:35,2015-09-05 23:58:08
3350,P003350,Enterprise-wide responsive synergy,fvU62209r,"[81, 13564, 13356, 19890, 33453, 30326, 30304, 33228, 11307, 7062, 6688, 8645, 8321, 17507, 7353, 171, 221]",402,0,119,59,224,1973-11-29 07:37:03,2012-01-01 17:57:59
3351,P003351,Realigned executive hierarchy,Qzl98211n,"[9299, 1795, 1879, 19469, 19401, 9606]",115,0,37,0,78,1995-09-26 22:48:39,2012-04-21 12:57:34
3352,P003352,Switchable explicit pricing structure,Ewq68975Z,"[7370, 7878, 20598, 16148, 2776, 21253, 21356, 20184, 20508, 18903, 18877, 22205, 13338, 13567, 16291, 18649]",351,0,0,45,306,2006-10-31 11:13:52,2021-10-16 07:15:11
3353,P003353,Multi-lateral 3rdgeneration service-desk,mMV06522H,"[13525, 13365, 34140, 8157, 21663, 6776, 34453]",191,0,6,45,140,2010-06-08 02:37:54,2014-12-13 17:00:26
3354,P003354,Extended motivating superstructure,qAP10662b,"[13656, 11859, 19634, 15516, 17109, 17097, 26869, 28118, 18913]",213,0,76,33,104,1993-07-12 08:59:19,2008-03-25 14:15:57
3355,P003355,Advanced clear-thinking challenge,Rsd30069F,"[33110, 11745, 24164, 23911, 6271, 21865, 22157, 32368, 33595]",202,0,120,9,73,1971-04-10 22:35:39,1981-05-21 09:44:39
3356,P003356,Organized didactic time-frame,IBF23736x,"[13997, 12074, 20553, 20493, 14526, 14485, 16890, 9191, 22360]",120,0,40,52,28,1987-02-18 09:21:54,1998-08-21 01:50:31
3357,P003357,Mandatory context-sensitive support,prD85741t,"[33939, 34108, 23691, 20824, 26813, 19607, 18071, 8040, 7974, 27075, 22955]",264,0,12,39,213,1971-11-13 21:12:58,2020-09-02 07:01:41
3358,P003358,Object-based static flexibility,mUZ48754s,"[31469, 25986, 26034, 20580, 26438, 15321, 18761, 17177, 18966, 25287, 25403]",336,0,0,42,294,1999-05-08 14:32:54,2006-03-09 17:00:38
3359,P003359,Mandatory bi-directional info-mediaries,GGB91803h,"[13486, 9853, 19590, 32259, 33899, 26523, 19259, 7754, 13317, 12078]",249,0,0,32,217,1987-02-10 18:17:37,2024-01-05 20:28:39
3360,P003360,Expanded disintermediate hierarchy,flc18437M,"[20856, 11141, 21213, 6137, 3439]",113,0,58,75,-20,2020-01-27 17:26:09,2023-12-01 20:05:40
3361,P003361,Stand-alone bottom-line software,GVC15441Q,"[990, 665, 20040, 6315, 5632, 25782, 4954, 17119, 33840, 21059, 11303]",247,0,0,62,185,2021-04-06 01:39:48,2023-03-11 07:24:15
3362,P003362,Assimilated maximized hardware,hGC57422f,"[8364, 4818, 20644, 19997, 19641, 17746]",156,0,85,55,16,1991-10-09 11:36:54,2001-06-11 07:09:04
3363,P003363,Synergistic multi-state circuit,axc96349x,"[763, 585, 20614, 20364, 13535, 13565, 33705, 34189, 33842, 26589, 25423, 26595, 26544, 1009, 605, 23789, 23770]",234,0,48,234,-48,2012-09-06 13:41:06,2020-06-18 21:14:19
3364,P003364,Synergistic incremental adapter,FgR59314F,"[15297, 13596, 32955, 13234, 2242, 2589, 27402, 27152, 25468]",217,0,19,41,157,2010-03-24 16:28:50,2013-01-29 02:02:57
3365,P003365,Digitized impactful budgetary management,vTs81012A,"[26537, 26261, 26358, 23954, 24333, 2541, 5290, 5136, 30121, 29636, 31096, 30606, 10017, 10054, 14884]",242,0,0,99,143,1994-07-09 18:24:12,2003-01-07 20:18:53
3366,P003366,Open-architected content-based Graphical User Interface,VAq48083n,"[21305, 4867, 20851, 33736, 33846, 26527, 10124, 9959]",149,0,40,0,109,2004-07-08 11:51:47,2014-04-08 07:30:39
3367,P003367,Open-source attitude-oriented monitoring,zjr80110Z,"[25768, 27562, 5637, 19382, 19177, 12858, 10970, 11125, 18543, 12723, 2865, 2859, 13668]",194,0,28,12,154,2022-08-10 19:11:54,2022-12-11 09:27:18
3368,P003368,Distributed next generation focus group,hvS35396p,"[15059, 14186, 1449, 12148, 5299, 5343, 16718, 23714, 11513]",267,0,4,36,227,2016-04-20 17:27:28,2021-08-10 07:39:50
3369,P003369,Right-sized stable protocol,Hzh26065z,"[28205, 28681, 15416, 17174, 3898, 26419, 20109, 19699, 9283, 11523, 11772, 26379, 26337]",284,0,122,32,130,2007-12-25 18:21:37,2012-03-21 20:14:57
3370,P003370,Networked non-volatile portal,hLU56719b,"[10908, 22446, 10458, 9814, 9975, 19505, 19303, 17378, 17061, 13770, 14028, 7795, 13590, 8190, 8196, 3856, 3709, 5401, 4928]",374,0,0,63,311,1999-05-11 22:02:35,2006-08-20 16:28:12
3371,P003371,Multi-channeled modular artificial intelligence,gtw46151e,"[8077, 27576, 27102, 34136, 20310, 21516, 21300, 8133, 15138, 15014, 34336, 34257]",160,0,0,65,95,1977-03-03 10:12:07,1977-06-05 09:00:03
3372,P003372,Sharable intermediate array,riQ70330p,"[26432, 26484, 7739, 7959, 18219, 16826, 34353, 9214, 25519, 16833]",235,0,12,60,163,1986-02-10 15:06:34,2020-11-26 14:35:38
3373,P003373,Customizable zero administration implementation,Fuo52382S,"[22694, 33731, 26202, 26280, 2633, 82]",184,0,69,0,115,2003-09-19 04:22:05,2024-06-11 10:24:07
3374,P003374,Optional zero tolerance groupware,EST26316u,"[24280, 14718, 28796, 29106, 22740, 16472, 8108, 4617, 18453, 18431, 11190, 16720, 19354, 25869, 25881]",308,0,38,85,185,1979-10-26 03:03:19,2001-04-29 17:13:33
3375,P003375,Synergized tertiary product,GLV72102I,"[18554, 18441, 13456, 18435, 18553, 25983, 25912, 11284, 11373, 15211, 33764]",124,0,28,0,96,2021-09-17 04:03:18,2021-10-06 19:52:13
3376,P003376,Business-focused demand-driven standardization,SXW52507Z,"[4962, 7897, 7405, 10546, 11594, 11761, 13398, 23407, 29962, 5345, 5158, 11091, 10618]",239,0,39,135,65,1990-11-16 01:58:39,2005-03-20 19:12:16
3377,P003377,Secured context-sensitive groupware,nuY95168d,"[18554, 14899, 239, 203, 5072, 20169, 19834]",82,0,77,70,-65,2013-02-27 12:21:44,2021-09-21 03:09:18
3378,P003378,Multi-layered logistical customer loyalty,uhb65547R,"[14996, 22103, 20650, 26398, 3442, 3125, 19246, 21591]",158,0,49,46,63,1991-11-14 09:44:42,2007-08-08 13:47:43
3379,P003379,Multi-layered real-time open architecture,YlA51940c,"[26535, 21667, 21703, 3354, 3310, 26949]",67,0,74,16,-23,1985-08-24 00:20:58,2012-06-20 18:44:24
3380,P003380,Programmable 4thgeneration access,dAa86467d,"[187, 25705, 21403, 21822, 22971, 26440, 5275, 5294, 33255, 32828]",145,0,0,12,133,2002-11-04 05:18:25,2018-12-28 23:45:17
3381,P003381,Optimized foreground process improvement,nYh57768G,"[16750, 9643, 9563, 13396, 26898, 26860, 33672, 25321, 22464]",126,0,62,11,53,2015-02-21 14:03:37,2019-05-17 06:05:52
3382,P003382,Re-engineered radical superstructure,KPM47655W,"[29449, 22248, 4856, 3761, 20341, 30858, 30892, 28333]",142,0,12,80,50,1989-05-05 23:01:22,2023-10-16 09:24:28
3383,P003383,Diverse fresh-thinking database,PSG63503R,"[16456, 9754, 595, 7275, 11417, 11354, 34533, 13168]",98,0,47,47,4,2021-08-10 13:48:25,2022-04-07 03:34:25
3384,P003384,Virtual real-time core,bYw81094N,"[27601, 25438, 20366, 97, 5805, 6094, 30577, 3246]",86,0,28,0,58,1971-10-21 03:42:11,2018-12-19 05:12:35
3385,P003385,Ameliorated content-based installation,rkx84900X,"[15620, 15493, 23788, 31719, 4865, 29935, 19294, 19089, 27113, 31882]",236,0,30,50,156,2020-03-27 00:54:13,2023-06-06 23:59:23
3386,P003386,Seamless attitude-oriented initiative,Oid48119R,"[4964, 21804, 21351, 16873, 3425, 3195, 30588, 30579, 221, 2322, 2396, 9256, 9179, 13084, 12730, 5911, 11431, 11417, 25594, 25621, 27123, 27882]",395,0,61,0,334,2014-04-17 16:35:11,2023-12-04 02:15:41
3387,P003387,Stand-alone interactive system engine,uRe33806d,"[5121, 5274, 27443, 5212, 5095, 108]",119,0,83,36,0,1981-05-01 10:38:02,2017-12-08 14:44:21
3388,P003388,Phased holistic emulation,MzA04816V,"[13270, 13116, 12450, 34304, 18418, 23453, 14531, 14200, 21597, 19415, 2722]",169,0,68,27,74,1989-12-02 09:30:10,2011-01-05 07:37:24
3389,P003389,Devolved 5thgeneration superstructure,lLG19571O,"[15163, 15293, 27289, 29472, 9041, 5550, 13297, 7456]",105,0,121,84,-100,2008-02-05 22:08:15,2011-09-24 11:04:57
3390,P003390,Balanced zero-defect Local Area Network,LYL95636T,"[22780, 22472, 31487, 1680, 33582, 32919, 9338, 2776, 34444, 34332, 9621, 15675]",197,0,0,51,146,1974-06-07 20:05:56,2007-11-16 04:47:38
3391,P003391,Cloned neutral middleware,czk09692S,"[3434, 3071, 30676, 16846, 16717, 25799, 5647, 6980]",192,0,45,85,62,1970-03-02 18:31:41,1982-01-12 15:48:18
3392,P003392,Quality-focused 6thgeneration access,JOD91858Y,"[11605, 25713, 26421, 26549, 12383, 12219, 29776, 28600, 28515, 27058, 24249, 15521]",283,0,33,11,239,2009-07-23 09:28:18,2021-06-12 09:56:46
3393,P003393,Customer-focused zero administration approach,aao68737G,"[14291, 27098, 26802, 13879, 11444, 16611, 16435, 29738, 7446]",168,0,0,2,166,1991-11-23 10:11:45,2019-06-14 16:01:52
3394,P003394,Configurable stable knowledgebase,BRs61379U,"[20154, 24966, 11872, 11369, 5751, 5534]",97,0,46,76,-25,1972-01-23 17:29:01,2004-06-10 05:12:15
3395,P003395,Organic transitional flexibility,COC99122k,"[12686, 23366, 23432, 34277, 14508, 11834, 11728, 26528, 26481, 5159, 3809, 3969]",215,0,70,0,145,1988-08-02 12:52:01,2016-12-27 06:04:33
3396,P003396,Automated asynchronous ability,gFg64622Z,"[3800, 20095, 19779, 13451, 13379, 14153, 14501, 828, 22345, 5610, 29488, 28950, 12518, 34124, 34206, 12806]",255,0,93,122,40,1984-07-11 21:29:03,2021-10-30 04:33:30
3397,P003397,Profit-focused motivating moderator,jjZ26328A,"[27918, 27309, 28742, 4587, 20998, 20767, 2371]",120,0,18,0,102,1974-12-08 00:22:13,2008-04-01 18:22:36
3398,P003398,Innovative hybrid secured line,XbE58783K,"[33340, 33212, 30785, 31198, 8612, 25501, 13440, 9624, 18644, 22649]",92,0,74,15,3,1979-02-11 18:38:20,2018-03-02 04:57:29
3399,P003399,Robust even-keeled open system,lYu00208F,"[30388, 29764, 22096, 8011, 14734, 3873, 21496, 21723, 5311, 5391, 28568, 3922, 26768, 27029, 29736, 30127]",267,0,40,0,227,2005-01-07 20:12:18,2020-10-27 04:37:52
3400,P003400,Function-based fault-tolerant orchestration,LlI49106n,"[32643, 32305, 9807, 26343, 25885, 5464, 5317, 17012, 16989, 33696, 2744, 3082]",188,0,38,43,107,1982-10-08 16:55:43,2014-05-03 09:30:06
3401,P003401,Focused encompassing software,Gte85689Q,"[20930, 18583, 18592, 19972, 19715, 11335, 11406, 19274, 22376, 22166]",205,0,66,58,81,2022-10-24 20:37:01,2023-06-26 13:04:33
3402,P003402,Optimized next generation emulation,kbh44449Y,"[19977, 20148, 30286, 15320, 21931, 23817, 4883, 4820, 15359, 15316, 7339, 2481, 22114, 16304, 7927, 7727]",280,0,68,78,134,1996-04-18 05:38:11,2011-09-01 00:08:53
3403,P003403,Universal exuding hub,SJT13558p,"[15337, 21025, 33049, 33645, 27246, 26675, 5404]",100,0,22,46,32,2012-04-21 13:22:30,2015-10-10 04:58:59
3404,P003404,Switchable foreground approach,cDX84164f,"[30027, 29862, 9011, 15347, 5219, 4934, 5088, 5134, 17720, 26939, 6661, 32870, 25620, 25448]",218,0,32,74,112,2011-09-23 21:15:10,2019-10-04 05:48:47
3405,P003405,Visionary bi-directional projection,GOd31828e,"[12233, 21874, 734, 11685, 11686, 22904]",105,0,40,25,40,1978-09-01 12:49:45,1997-07-13 00:26:36
3406,P003406,Face-to-face scalable architecture,cWm24987u,"[32816, 32880, 27665, 27335]",75,0,23,151,-99,1998-04-05 08:28:04,2002-08-16 00:56:25
3407,P003407,Up-sized needs-based projection,ETX08797m,"[7993, 8776, 1892, 1873, 1394, 18990, 30415, 30027, 28989, 29385, 24253, 24507, 30477, 18428, 12707]",241,0,40,0,201,1970-08-10 05:39:09,2021-12-26 18:39:38
3408,P003408,Adaptive asymmetric info-mediaries,Lgc12527r,"[10462, 23848, 15176, 21652, 21608, 18420, 17793, 18328, 23077, 18380]",301,0,47,26,228,1979-06-13 15:45:52,2013-07-06 09:53:56
3409,P003409,Diverse didactic archive,Xiu29268t,"[12689, 13288, 28580, 28506, 3213, 10054, 27046, 11334, 1695, 5085, 4961, 7927, 7905]",178,0,80,37,61,1979-11-26 14:23:18,2010-02-20 17:12:26
3410,P003410,Phased reciprocal throughput,vhj04300n,"[26554, 11731, 27791, 22908, 22478, 34305, 11758, 11726, 30492]",207,0,0,13,194,1992-10-26 15:42:59,2008-09-07 22:48:09
3411,P003411,Reduced fault-tolerant conglomeration,JIo94620K,"[11714, 18504, 15840, 11727, 18609, 21807]",116,0,13,47,56,2017-09-17 07:07:43,2021-02-05 14:16:48
3412,P003412,Upgradable context-sensitive website,qMQ86157W,"[4415, 20219, 25486, 26304, 26157, 14958, 14711, 33815, 33977, 30616, 33986, 2484, 2312]",345,0,85,20,240,1995-11-24 15:58:14,1998-03-03 14:57:48
3413,P003413,Expanded reciprocal moderator,VvF54901A,"[11389, 18484, 2574, 2666, 9526, 799, 906, 23614, 23744, 14781]",164,0,98,15,51,1974-10-20 06:17:04,2001-01-23 09:14:04
3414,P003414,Reduced static extranet,Kju61523b,"[22369, 22027, 14184, 14605, 5219, 9330, 9173, 4063, 5709, 7989, 8106, 13600, 2314, 26401, 7594, 7616]",343,0,139,63,141,1992-11-27 14:11:21,2018-10-31 20:26:31
3415,P003415,Ergonomic empowering support,NEQ55965s,"[3636, 17002, 25623, 30354, 23080, 23041, 25812, 9167, 6382, 17785, 18131, 15563]",286,0,0,40,246,1993-10-23 18:11:29,2015-08-01 10:28:38
3416,P003416,Quality-focused foreground methodology,Jgq82345T,"[12143, 23748, 22445, 22886, 25324, 9948, 9428, 790, 1196, 17222, 21130, 20797]",181,0,17,57,107,2002-02-06 13:51:47,2007-12-12 14:25:54
3417,P003417,Networked context-sensitive groupware,VfI83577H,"[17177, 12934, 34030, 34285, 9180, 30518, 18525]",166,0,60,0,106,1975-04-26 06:39:32,2012-09-23 01:28:43
3418,P003418,Seamless modular model,gGX88661n,"[771, 18514, 18609, 26253, 16114, 21827, 30523, 25538]",214,0,30,20,164,2022-04-14 16:08:37,2023-03-07 22:59:25
3419,P003419,Distributed logistical groupware,MeN44276e,"[23828, 20135, 24109, 21887, 21958, 13537, 13515, 1567, 20912, 20937]",217,0,29,20,168,1974-06-10 20:10:27,2024-01-12 09:26:09
3420,P003420,Digitized 24hour superstructure,XKe82992Y,"[22870, 19532, 19113, 8198, 8731, 24394, 24546, 16953, 18997, 33908, 34035, 18066, 18114, 11116]",310,0,77,28,205,2023-05-13 23:45:12,2024-07-25 23:00:10
3421,P003421,Sharable reciprocal circuit,Tsn99761j,"[16742, 19546, 33600, 25705, 16305, 25633, 31098, 31112, 30531, 4264, 23252]",277,0,0,92,185,1982-06-29 15:26:19,1993-02-24 18:48:29
3422,P003422,Open-source motivating forecast,qLm90228z,"[21108, 20785, 28932, 6964, 28850, 11514, 29295]",158,0,89,41,28,1986-06-17 16:52:22,2020-07-31 14:26:25
3423,P003423,Quality-focused regional model,jHn74661B,"[11506, 23608, 23663, 8882, 9023, 13927, 11238, 34209, 33761, 26594, 26501]",201,0,1,5,195,2010-05-06 13:24:26,2018-12-31 10:45:46
3424,P003424,Optimized web-enabled moderator,nfF22823y,"[11307, 4033, 33992, 34234, 33770, 24583, 25104]",60,0,0,119,-59,1975-03-17 02:25:34,1975-08-09 10:05:00
3425,P003425,Assimilated attitude-oriented encryption,Nry19943s,"[20358, 20346, 28244, 28527, 7081, 27591, 19593, 18375, 21637, 9684, 23753, 16500, 30051]",325,0,45,1,279,1983-06-20 03:01:05,1988-02-02 05:32:26
3426,P003426,Upgradable fault-tolerant synergy,rOp40106P,"[34461, 34102, 802, 1132, 28413, 8065, 4829]",156,0,37,78,41,1972-09-16 01:49:10,1996-12-26 14:44:13
3427,P003427,Universal regional architecture,pLr99744I,"[16783, 16780, 16701, 24540, 12671, 7726, 22871, 6117, 6368, 23729, 23666]",181,0,29,9,143,1973-04-25 12:49:55,1976-10-26 05:13:22
3428,P003428,Centralized web-enabled interface,KzA23638Z,"[20617, 20597, 20622, 17156, 24292, 4381, 26101, 25894, 9596, 2727, 3523, 14706, 14949, 25932]",243,0,23,44,176,1996-03-09 08:06:26,2001-06-16 10:55:02
3429,P003429,Function-based solution-oriented core,wKl34165S,"[18271, 18308, 5834, 14029, 11379, 5062, 4973, 10284, 18805, 18893, 25745, 26547, 26492]",332,0,80,44,208,2008-02-26 13:36:29,2022-08-10 13:19:10
3430,P003430,Face-to-face directional adapter,XYg93618J,"[845, 400, 20002, 19849, 33617, 18738, 9180, 13217]",102,0,0,94,8,1973-02-26 15:02:34,1977-01-15 21:44:27
3431,P003431,Networked 4thgeneration architecture,VGE51452x,"[22465, 20571, 9342, 9283, 31858, 26556]",122,0,53,39,30,2009-05-14 09:36:40,2018-02-21 06:48:05
3432,P003432,Synergistic systematic conglomeration,iJI91203L,"[32551, 10055, 34253, 25881, 1501, 1998, 26070, 5083, 10714, 19168, 19351]",282,0,46,86,150,2006-08-10 15:12:33,2020-04-15 22:39:50
3433,P003433,Synergistic systemic projection,fyf59246M,"[16091, 15493, 27573, 12543, 10215, 10288, 9485, 18230, 8152, 8056]",138,0,76,23,39,2005-04-26 01:11:28,2012-08-20 16:19:08
3434,P003434,Team-oriented executive product,tgB84674u,"[25473, 15245, 3412, 2873, 11352, 11285]",111,0,90,49,-28,2004-07-18 09:16:55,2009-07-19 20:15:55
3435,P003435,Distributed didactic analyzer,OzC04632o,"[22039, 10689, 11075, 4951, 17918, 14693, 14907, 18768, 27723, 27677, 24120, 24421, 5032]",275,0,50,16,209,1989-06-20 11:40:19,2023-07-19 18:57:48
3436,P003436,Digitized well-modulated help-desk,xBe12955r,"[18513, 18586, 18436, 18614, 15559, 34409, 34284]",70,0,95,177,-202,1976-05-12 13:03:44,2009-07-27 01:36:58
3437,P003437,Virtual attitude-oriented matrix,lDi08879P,"[16558, 16458, 3209, 3339, 26446, 32304, 32742, 34157, 34362, 20849, 20741]",166,0,44,45,77,2000-10-09 04:21:38,2022-11-09 07:23:12
3438,P003438,Persistent cohesive complexity,Nqx70859X,"[23823, 32049, 22372, 13505, 13356, 13796, 25655, 29131]",200,0,14,3,183,1988-01-16 04:00:41,2011-10-30 01:14:04
3439,P003439,Programmable tangible conglomeration,DcD00666Z,"[15636, 2118, 16676, 27, 11806, 11795, 20737]",144,0,93,64,-13,1976-02-06 15:53:50,1978-10-06 05:12:47
